date,state,city_county,address,nkill,ninjured,operations
25-Aug-13,Florida,Lake Butler,1050 Southeast 6th Street,4,1,N/A
25-Aug-13,Minnesota,Minneapolis,2600 block of Cedar and 2600 block of 18th Avenue South,2,2,N/A
25-Aug-13,South Carolina,Latta,214 Willis St,1,3,N/A
20-Aug-13,Maryland,Baltimore,1200 block of S. Carey St,2,2,N/A
19-Aug-13,Illinois,Chicago,1011 W. Wilson,1,4,N/A
18-Aug-13,New Jersey,Port Norris,1600 block of North Avenue,0,4,N/A
18-Aug-13,Ohio,Toledo,2272 Scottwood Ave,0,4,N/A
18-Aug-13,South Carolina,Chesterfield,3217 Center Point Rd,1,4,N/A
18-Aug-13,Illinois,Chicago,100 block of South Springfield,1,3,N/A
17-Aug-13,California,San Francisco,1738 Telegraph Avenue,0,4,N/A
14-Aug-13,Oklahoma,Oklahoma City,4601 SE 79,4,0,N/A
13-Aug-13,Pennsylvania,Philadelphia,1100 block of Divinity Street,0,4,N/A
11-Aug-13,Virginia,Portsmouth,1100 block of Mt. Vernon Ave,1,4,N/A
11-Aug-13,New York,Brooklyn,395 East 48th Street,0,4,N/A
10-Aug-13,Delaware,Wilmington,1200 block of Second Street,0,4,N/A
9-Aug-13,Missouri,Saint Louis,4200 block of Kossuth Ave,2,2,N/A
7-Aug-13,Texas,Dallas,7100 block of Long Canyon Trail,4,4,N/A
6-Aug-13,New Jersey,Montclair,Mission Street,0,4,N/A
6-Aug-13,Pennsylvania,Saylorsburg,1000 Ross Municipal Dr,3,4,N/A
4-Aug-13,Missouri,Kansas City,2400 block of  Park Avenue,1,3,N/A
4-Aug-13,California,Salinas,624 Williams Road,3,4,N/A
3-Aug-13,Michigan,Detroit,Murray Hill St,0,5,N/A
2-Aug-13,Indiana,Indianapolis,62nd and College Ave,0,4,N/A
2-Aug-13,New Jersey,Newark,Livingston St. and 18th Avenue,2,3,N/A
30-Jul-13,New Mexico,Hobbs,2000 block of North Bensing Rd,0,4,N/A
29-Jul-13,Washington,Granger,300 block of S. Outlook Rd.,0,4,N/A
26-Jul-13,Florida,Hialeah,1485 W 46th St,7,0,N/A
26-Jul-13,West Virginia,Clarksburg,743 Locust Avenue,4,0,N/A
25-Jul-13,Michigan,Inkster,Oakwood Street,0,4,N/A
24-Jul-13,Kansas,Topeka,221 SE Lawrence St,0,4,N/A
21-Jul-13,New York,Brooklyn,1445 Lincoln Place,0,4,N/A
20-Jul-13,New York,Brooklyn,Grove Street,0,5,N/A
19-Jul-13,Connecticut,Hartford,3155 Main St,0,4,N/A
19-Jul-13,California,Madera,Yosemite Avenue and Cleveland,0,4,N/A
17-Jul-13,California,Oakland,3400 block of Wilson Avenue,1,3,N/A
14-Jul-13,Kansas,Wichita,11th Street and Mead,1,4,N/A
14-Jul-13,Michigan,Grand Rapids (Kentwood),Farmview Ct SE,0,5,N/A
13-Jul-13,Ohio,Campbell,Seventh Street,0,4,N/A
13-Jul-13,District of Columbia,Washington,2700 block of Stanton Road,0,4,N/A
13-Jul-13,Oklahoma,Oklahoma City,5405 N. Lincoln Blvd,1,3,N/A
13-Jul-13,New Jersey,Trenton (Hamilton Township),1100 block of Deutz Ave,1,4,N/A
12-Jul-13,Kentucky,Greensburg,194 C Mays Rd,2,2,N/A
12-Jul-13,California,San Francisco,3192 16th St,1,3,N/A
11-Jul-13,North Carolina,Charlotte,6300 block of Reagan Drive,2,2,N/A
9-Jul-13,Illinois,Rockford,600 block of Woodlawn Avenue,2,2,N/A
9-Jul-13,Maryland,Baltimore,600 block of N. Carrollton Ave,0,4,N/A
7-Jul-13,Florida,Pompano Beach,1600 block of Northwest 7th Lane,1,3,N/A
7-Jul-13,California,Stockton,2600 block of Connecticut Avenue,1,4,N/A
7-Jul-13,Mississippi,Meridian,2500 block of 5th Street,0,4,N/A
